iter	MultiClass	F1:use_weights=true;class=0	F1:use_weights=true;class=1	F1:use_weights=true;class=2	F1:use_weights=true;class=3	F1:use_weights=false;class=0	F1:use_weights=false;class=1	F1:use_weights=false;class=2	F1:use_weights=false;class=3	Accuracy:use_weights=true	Accuracy:use_weights=false
16	1.089175636	0.3932139915	0.6148191443	0.7010236579	0.4058827026	0.3912863071	0.6151672994	0.7023725212	0.4071069118	0.5384118523	0.539
17	1.082284894	0.3972886517	0.6168185911	0.7047244016	0.40780744	0.3953344344	0.6171640473	0.7060700044	0.4090299969	0.5412352567	0.5418095238
18	1.075526922	0.3969565109	0.617985622	0.7068287968	0.4096568291	0.3950030973	0.6183327446	0.7081705151	0.4108941418	0.5422752682	0.5428571429
19	1.069484464	0.3950447666	0.6185650277	0.7060876	0.4105335201	0.3930970342	0.6189086407	0.7074444543	0.4117707583	0.5421711426	0.5427619048
20	1.063191054	0.4003508987	0.6218757321	0.71000514	0.4125511978	0.3983899267	0.6222104145	0.7113475177	0.4138001848	0.5456087156	0.5461904762
21	1.057145436	0.3995007628	0.6284678476	0.7105924588	0.4180485251	0.3975554174	0.6287992911	0.7119483506	0.4193151528	0.5487745887	0.5493809524
22	1.05206924	0.4025318233	0.6337371753	0.7128085343	0.4202138723	0.4005793503	0.6340512275	0.714159292	0.4214952313	0.5519190452	0.5525238095
23	1.046396222	0.4020651211	0.6363681079	0.7134083136	0.4260048567	0.4001245201	0.6366868112	0.7147656941	0.4273033364	0.5539469043	0.5545714286
24	1.042042104	0.4035271258	0.6386609922	0.7142765089	0.4263655239	0.4015723596	0.6389753624	0.7156288806	0.4276691117	0.5549057529	0.5555238095
25	1.036916123	0.4066775144	0.6402898527	0.717029671	0.4296443884	0.4047224524	0.6406041759	0.7183846971	0.4309482495	0.5577619942	0.5583809524
26	1.03275069	0.4097493039	0.6427915294	0.7180078707	0.4315825892	0.4077951695	0.6430919591	0.7193619849	0.4328951391	0.5598111449	0.5604285714
27	1.027852847	0.4087176529	0.6417476929	0.7172301677	0.4316676344	0.4067726187	0.6420500044	0.7185894028	0.432981316	0.5590431749	0.5596666667
28	1.023519244	0.4139492206	0.6417371944	0.7202085036	0.4363882431	0.412016272	0.6420368557	0.7215727949	0.4377022654	0.5621841572	0.5628095238
29	1.019633629	0.4144633808	0.6429730369	0.7216881617	0.4385893081	0.4125168936	0.6432717207	0.7230496454	0.4399111291	0.5632807664	0.5639047619
30	1.015344967	0.4172611401	0.6454792514	0.7228294253	0.4373151076	0.4153141906	0.6457607433	0.7241959777	0.4386354461	0.5646202194	0.5652380952
31	1.011207443	0.4186563131	0.6469324855	0.7232273512	0.4392181072	0.4167012879	0.6472162741	0.7245939469	0.4405375366	0.5658136069	0.5664285714
32	1.0078049	0.4171713799	0.6504362846	0.7237575066	0.4382008755	0.4152198773	0.6507100116	0.7251285689	0.439531597	0.5663288348	0.566952381
33	1.004574345	0.4197616536	0.6494851695	0.725287115	0.440137782	0.4178110695	0.649763414	0.7266601649	0.4414614453	0.5675701355	0.5681904762
34	1.001549469	0.4193459866	0.6498447442	0.7245982798	0.4425747549	0.4173840888	0.6501254031	0.7259653795	0.4439073515	0.567665482	0.5682857143
35	0.9984530978	0.4199476541	0.6516998651	0.7268236042	0.4441949723	0.4179910668	0.6519752755	0.7281932848	0.4455385852	0.5692295306	0.5698571429
36	0.9952343192	0.4239532322	0.6542493083	0.7265113071	0.4466129673	0.4219784768	0.6545095221	0.727871772	0.4479647082	0.5709571227	0.5715714286
37	0.9920709981	0.425281743	0.6558245355	0.7279177686	0.4474748203	0.4233078038	0.6560732561	0.729281768	0.4488323143	0.5722425741	0.5728571429
38	0.9894661844	0.4235765604	0.6547343068	0.7284899245	0.4495892073	0.4216216216	0.6549896703	0.7298595056	0.4509549045	0.5723686017	0.573
